member_name,rank,employer,total,count
Jason Smith,1,GOOGLE,40250,16
Jason Smith,2,NORTHWESTERN MUTUAL,15500,13
Jason Smith,3,THE BALDWIN,13200,4
Jason Smith,4,TRIBE,11300,7
Jason Smith,5,WEBB CREEK,8333,1
Jason Smith,6,SOLANA LABS,8000,4
Jason Smith,7,DAVITA,7500,3
Jason Smith,8,TOWN & COUNTRY SUPER MARKET,7000,3
Jason Smith,9,THE ANSCHUTZ,7000,3
Jason Smith,10,SOROBAN CAPITAL,7000,3
Jason Smith,11,TIRECO,7000,3
Jason Smith,12,BLUE OWL CAPITAL,7000,5
Jason Smith,13,ARSENAL CAPITAL,7000,3
Jason Smith,14,CHARLES SCHWAB,7000,3
Jason Smith,15,SCOTTTRADE FINANCIAL,7000,3
Jason Smith,16,THE HOME DEPOT,7000,3
Vern Buchanan,1,MCIVER CLINIC,7500,4
Vern Buchanan,2,GARGIULO,7000,2
Vern Buchanan,3,SMOKY MOUNTAIN FAMILY FARMS,7000,2
Vern Buchanan,4,SARASOTA BROOKSIDE ELEMENTARY,7000,2
Vern Buchanan,5,PACIFIC TOMATE GROWERS,7000,2
Vern Buchanan,6,MOBLEY,7000,2
Vern Buchanan,7,ADVOCATE HEALTH ADVISORS,7000,2
Vern Buchanan,8,CARNIVAL CRUISE LINE,7000,2
Vern Buchanan,9,HAMLIN &,6600,2
Vern Buchanan,10,WEBB CREEK,5000,2
Vern Buchanan,11,GAMECHANGE SOLAR,5000,3
Vern Buchanan,12,BARRINTON,5000,2
Vern Buchanan,13,FINANCIAL INSURANCE,5000,2
Vern Buchanan,14,GARCIA DEVELOPMENT,5000,2
Vern Buchanan,15,LIPMAN FAMILY FARMS,5000,2
Vern Buchanan,16,FTC SOLAR,5000,2
Vern Buchanan,17,POLARIS,3500,1
Adrian Smith,1,HAWKINS CONSTRUCTION,17500,8
Adrian Smith,2,DCI,12800,11
Adrian Smith,3,WEBB CREEK,8333,4
Adrian Smith,4,ADAPTIVE CONSTRUCTION SOLUTIONS,7000,5
Adrian Smith,5,WCAS,7000,6
Adrian Smith,6,BLACKSTONE,5000,3
Adrian Smith,7,THE PETRIZZO,4500,2
Adrian Smith,8,SAMPSON CONSTRUCTION,4500,2
Adrian Smith,9,MOBLEY,4167,3
Adrian Smith,10,STATE OF NEBRASKA,3550,2
Adrian Smith,11,SID DILLON CHEVROLET,3500,1
Adrian Smith,12,MOOSTASH JOE TOURS,3500,1
Adrian Smith,13,HUB,3500,1
Adrian Smith,14,BAXTER AUTOMOTIVE,3500,1
Adrian Smith,15,GCP CAPITAL,3500,1
Adrian Smith,16,BRUNING LAW,3500,1
Adrian Smith,17,FREMONT CONTRACT CARRIERS,3500,1
Mike Kelly,1,CAROLYN ROWAN COLLECTION,7000,2
Mike Kelly,2,APOLLO,7000,2
Mike Kelly,3,ARSEN CAPITAL,7000,2
Mike Kelly,4,SOROBAN CAPITAL,7000,2
Mike Kelly,5,GREATER PITTSBURGH AUTO DEALERS,5000,3
Mike Kelly,6,MIKE HERNANDEZ,3500,1
Mike Kelly,7,O'BRIEN AUTOMOTIVE TEAM,3500,1
Mike Kelly,8,ELLWOOD FORGE,3500,1
Mike Kelly,9,JIM NORTON TOYOTA,3500,1
Mike Kelly,10,WATCO COMPANIES,3050,1
Mike Kelly,11,THE PICARD,2500,1
Mike Kelly,12,THE MCMANUS,2500,1
Mike Kelly,13,HONDA AUTO CENTER OF BELLEVUE,2500,1
Mike Kelly,14,MURAL HEALTH,2000,1
Mike Kelly,15,WILLIAMS AND JENSEN,2000,2
Mike Kelly,16,SI-BONE,2000,1
Mike Kelly,17,DAVITA,1750,3
David Schweikert,1,DANZIK APPLIED SCIENCES,7000,3
David Schweikert,2,CLEAR PATH,7000,2
David Schweikert,3,CONTINENTAL INVESTORS,7000,2
David Schweikert,4,CUMBERLAND DEVELOPMENT,7000,3
David Schweikert,5,AUDAX,7000,3
David Schweikert,6,CAROLYN ROWAN COLLECTION,7000,2
David Schweikert,7,APOLLO,7000,2
David Schweikert,8,ELLIOTT INVESTMENT,7000,3
David Schweikert,9,DANIELS MANUFACTURING,7000,2
David Schweikert,10,EDWARD C LEVY,6610,3
David Schweikert,11,BROWNSTEIN,6500,8
David Schweikert,12,CVS HEALTH,4500,2
David Schweikert,13,MAYER BROWN,4000,2
David Schweikert,14,BGR,4000,3
David Schweikert,15,NESSEL DEVELOPMENT,3500,1
David Schweikert,16,NEVER SURRENDER,3500,1
David Schweikert,17,MARTORI FARMS,3500,1
Darin LaHood,1,PIVOT ENERGY,14651,19
Darin LaHood,2,SPRINGFIELD ARMORY,14000,4
Darin LaHood,3,CONSTELLATION ENERGY,10000,15
Darin LaHood,4,LIPSCHULTZ FAMILY FOUNDATION,7000,2
Darin LaHood,5,OPENAI,7000,2
Darin LaHood,6,CAPITOL COUNSEL,7000,2
Darin LaHood,7,BLUE OWL CAPITAL,7000,2
Darin LaHood,8,BLACKSTONE,7000,2
Darin LaHood,9,URBAN EQUITY,7000,2
Darin LaHood,10,WIREPATH HOME SYSTEMS,7000,2
Darin LaHood,11,ARNOLD VENTURES,7000,2
Darin LaHood,12,CAPITOL TAX,6300,5
Darin LaHood,13,BGR,5825,6
Darin LaHood,14,JES,5000,2
Darin LaHood,15,MIDWEST TECHNICAL INSTITUTE,5000,2
Darin LaHood,16,OGR,4500,6
Darin LaHood,17,CANADA LIFE REINSURANCE,3750,3
Jodey Arrington,1,MFO VENTURES,7000,2
Jodey Arrington,2,HUNT COMPANIES,7000,2
Jodey Arrington,3,PLAINS CAPITAL BANK/HILLTOP,6600,2
Jodey Arrington,4,BAR-G FEEDYARD,5000,2
Jodey Arrington,5,HORIZON DAIRY,5000,2
Jodey Arrington,6,FRESENIUS KABI,5000,2
Jodey Arrington,7,SCHLUMBER,5000,2
Jodey Arrington,8,FASKEN,4998,6
Jodey Arrington,9,WINGED KEEL,4500,5
Jodey Arrington,10,CAPITOL COUNSEL,3500,1
Jodey Arrington,11,THE STANTON PARK,3500,2
Jodey Arrington,12,CG 7600,3500,1
Jodey Arrington,13,M FINANCIAL,3000,2
Jodey Arrington,14,OGR,2500,3
Jodey Arrington,15,ADVANCED POLICY,2500,1
Jodey Arrington,16,LONESTAR AG,2500,1
Jodey Arrington,17,HBC INVESTMENTS,2107,1
Ron Estes,1,TRANSYSTEMS,7500,3
Ron Estes,2,INTRUST BANK,5000,2
Ron Estes,3,CAPITOL TAX,4800,4
Ron Estes,4,GOOGLE,3500,1
Ron Estes,5,GOLUB CAPITAL,3500,1
Ron Estes,6,MARKED BY CECI,2500,1
Ron Estes,7,FIERCE GOVERNMENT RELATIONS,2500,3
Ron Estes,8,WATCO,2500,2
Ron Estes,9,WASHINGTON TAX PUBLIC POLICY,2500,1
Ron Estes,10,MAYER BROWN,2500,1
Ron Estes,11,WILLIAMS JENSEN,2000,1
Ron Estes,12,CTP,1500,1
Ron Estes,13,ENERGY INFRASTRUCTURE COUNCIL,1500,1
Ron Estes,14,LPFS,1000,1
Ron Estes,15,AKIN GUMP STRAUSS HAUER AND FELD,1000,1
Ron Estes,16,AKIN GUMP STRAUSS HAUER FELD,1000,1
Ron Estes,17,WASHINGTON TAX,1000,1
Lloyd Smucker,1,BLACKSTONE,7000,3
Lloyd Smucker,2,CAROLYN ROWAN COLLECTION,7000,2
Lloyd Smucker,3,SOROBAN CAPITAL,7000,3
Lloyd Smucker,4,APOLLO,7000,2
Lloyd Smucker,5,ALSTON BIRD,5500,5
Lloyd Smucker,6,SILVI MATERIALS,5000,3
Lloyd Smucker,7,TODD STRATEGY,2500,1
Lloyd Smucker,8,LINCOLN POLICY,2500,2
Lloyd Smucker,9,RICH FEUER ANDERSON,1500,1
Lloyd Smucker,10,STANTON PARK,1500,1
Lloyd Smucker,11,KOUNTOUPES DENHAM CARR & REID,1500,1
Lloyd Smucker,12,THE PICARD,1000,2
Lloyd Smucker,13,W STRATEGIES,1000,1
Lloyd Smucker,14,MAYER BROWN,1000,1
Lloyd Smucker,15,FIERCE GOVERNMENT RELATIONS,1000,1
Lloyd Smucker,16,CORNERSTONE GOVERNMENT AFFAIRS,1000,1
Lloyd Smucker,17,CAPITOL TAX,1000,1
Kevin Hern,1,NEXTEP,17740,6
Kevin Hern,2,BGR,10500,8
Kevin Hern,3,WEBB CREEK,8333,3
Kevin Hern,4,CAPITOL TAX,7000,6
Kevin Hern,5,BLACKSTONE,7000,2
Kevin Hern,6,VENSURE,5205,1
Kevin Hern,7,TEXAS SULTIONS SECURITY AND PATROL,5000,2
Kevin Hern,8,CHARTERHOUSE,4800,4
Kevin Hern,9,MOBLEY,4167,2
Kevin Hern,10,OGILVY GOVERNMENT RELATIONS,4000,6
Kevin Hern,11,AKIN GUMP,4000,2
Kevin Hern,12,FIERCE GOVERNMENT RELATIONS,4000,8
Kevin Hern,13,CHARTWELL STRATEGY,3500,1
Kevin Hern,14,MEHLMAN CASTAGNETTI ROSEN THOMAS,3500,1
Kevin Hern,15,HOLLAND KNIGHT,3500,1
Kevin Hern,16,SALT POINT STRATEGIES,3500,2
Carol Miller,1,FORM ENERGY,9800,8
Carol Miller,2,KEYROCK ENERGY,8000,3
Carol Miller,3,LONG HAUL LEASING,7000,2
Carol Miller,4,CLEAR PATH,7000,2
Carol Miller,5,SERVICE PUMP AND SUPPLY,7000,2
Carol Miller,6,HALL STRATEGIES,7000,2
Carol Miller,7,DUKE ENERGY,5000,3
Carol Miller,8,MAYER,4600,4
Carol Miller,9,LITTLE GENERAL STORE,4000,2
Carol Miller,10,BGR,3962,5
Carol Miller,11,KIMBELL,3500,1
Carol Miller,12,COLE AUTOMOTIVE,3500,1
Carol Miller,13,RIMBACH PUBLISHING,3500,1
Carol Miller,14,SYNERGI,3500,1
Carol Miller,15,CARE HOUSE,3500,1
Carol Miller,16,JAN-CARE AMBULANCE,3500,1
Greg Murphy,1,UROLOGY CLINICS OF NORTH TEXAS,24500,7
Greg Murphy,2,ALG SENIOR,14000,6
Greg Murphy,3,NYCBS,11750,14
Greg Murphy,4,ADVOCATE HEALTH ADVISORS,10000,3
Greg Murphy,5,LIBERTY HEALTHCARE,7000,2
Greg Murphy,6,KNOW BIO,7000,2
Greg Murphy,7,PRINCIPLE LTC,5500,3
Greg Murphy,8,RPS MEDICAL,5500,4
Greg Murphy,9,GR,3500,1
Greg Murphy,10,GUAYNABO RADIOLOGY,3500,1
Greg Murphy,11,HILLCO,3500,1
Greg Murphy,12,KSA ENTERPRISES,3500,1
Greg Murphy,13,MEDICAL CARD SYSTEM,3500,1
Greg Murphy,14,METCON,3500,1
Greg Murphy,15,PMCOA,3500,1
Greg Murphy,16,NEW YORK CANCER,3500,1
David Kustoff,1,ADVANCE FINANCIAL,14000,6
David Kustoff,2,APOLLO GLOBAL,12500,6
David Kustoff,3,WEBB CREEK,8332,6
David Kustoff,4,LIPMAN BROS,7000,3
David Kustoff,5,CCA,7000,3
David Kustoff,6,MOBLEY,7000,3
David Kustoff,7,QUEST,7000,2
David Kustoff,8,HAURY & SMITH,7000,3
David Kustoff,9,NATIONAL HEALTHCARE,5800,11
David Kustoff,10,THE ARMSTRONG,5000,3
David Kustoff,11,TODD STRATEGY,4750,3
David Kustoff,12,SUMMIT AGRICULTURAL,3500,1
David Kustoff,13,TEXAS GAS TRANSMISSION,3500,1
David Kustoff,14,RISE,3500,1
David Kustoff,15,AKIN GUMP STRAUSS HAUER & FELD,3500,1
David Kustoff,16,MILLER STRATEGIES,3500,1
David Kustoff,17,JEFFREY J KIMBELL &,3500,1
Brian Fitzpatrick,1,NEW YORK LIFE,16500,7
Brian Fitzpatrick,2,APOLLO,14800,6
Brian Fitzpatrick,3,SHADE TREE ADVISORS,14000,4
Brian Fitzpatrick,4,NEW YORK LIFE INSURANCE,7500,3
Brian Fitzpatrick,5,WILLOUGHBY CAPITAL,7000,2
Brian Fitzpatrick,6,WESRAY SOCIAL INVESTMENTS,7000,2
Brian Fitzpatrick,7,CROW,7000,2
Brian Fitzpatrick,8,CHARLES POTOMAC CAPITAL,7000,2
Brian Fitzpatrick,9,DERSON ADVISORS,7000,2
Brian Fitzpatrick,10,CC INDUSTRIES,7000,2
Brian Fitzpatrick,11,FORTRESS INVESTMENT,7000,2
Brian Fitzpatrick,12,ELLIOTT INVESTMENT,7000,2
Brian Fitzpatrick,13,GOLDMAN SACHS,7000,2
Brian Fitzpatrick,14,NEW MARK MERRILL COMPANIES,7000,2
Brian Fitzpatrick,15,ICI HOMES,6600,2
Brian Fitzpatrick,16,NEW YORK LIFE INS,6500,3
Brian Fitzpatrick,17,A10,5600,2
Greg Steube,1,ANDREESSEN HOROWITZ,14000,4
Greg Steube,2,CARNIVAL,12000,4
Greg Steube,3,BIOWOUND SOLUTIONS,3500,1
Greg Steube,4,PROMETHEUS,3500,1
Greg Steube,5,SILENCER CENTRAL,3000,1
Greg Steube,6,MULTI CHANNEL,3000,4
Greg Steube,7,ACESSO BIOLOGICS,2500,1
Greg Steube,8,THE MCMANUS,2500,1
Greg Steube,9,MAYER BROWN,2000,2
Greg Steube,10,ZIRKELBACH STRATEGIES,2000,1
Greg Steube,11,DLA PIPER,1875,1
Greg Steube,12,KEMPSTAR,1875,1
Greg Steube,13,STOICLANE,1875,1
Greg Steube,14,MEOPTA USA,1875,1
Greg Steube,15,CRAIG/IS,1875,1
Greg Steube,16,SPRING LABS,1875,1
Greg Steube,17,GOLDMAN SACHS,1875,1
Greg Steube,18,OLD NORTH STRATEGIES,1500,1
Claudia Tenney,1,CORNING,14500,6
Claudia Tenney,2,BLUE OWL CAPITAL,14000,4
Claudia Tenney,3,ADVANTAGE CAPITAL,13300,9
Claudia Tenney,4,BLOOM ENERGY,11250,17
Claudia Tenney,5,NOVOGRADAC,11000,7
Claudia Tenney,6,FIRST MANHATTAN,7000,4
Claudia Tenney,7,BLACKSTONE,7000,3
Claudia Tenney,8,ENERGY CAPITAL,7000,3
Claudia Tenney,9,BOSTON MUTUAL LIFE INSURANCE,6600,2
Claudia Tenney,10,PREMIER MEDICAL,6000,3
Claudia Tenney,11,BLUMBERG CAPITAL,3500,1
Claudia Tenney,12,CHARTWELL STRATEGY,3500,1
Claudia Tenney,13,MACK AND CONSTRUCTION,3300,1
Claudia Tenney,14,GLOBE LIFE,3300,1
Claudia Tenney,15,SECURITY MUTUAL LIFE INS OF NY,3300,1
Claudia Tenney,16,KAMSON,3300,1
Michelle Fischbach,1,MARQUIS,27500,10
Michelle Fischbach,2,FELTL,7000,2
Michelle Fischbach,3,STARKEY HEARING,7000,2
Michelle Fischbach,4,PIVOT EQUITY,6600,2
Michelle Fischbach,5,CARBON SOLUTIONS,5000,2
Michelle Fischbach,6,NRLC,5000,2
Michelle Fischbach,7,COBORN'S,5000,2
Michelle Fischbach,8,WALSER AUTOMOTIVE,4000,2
Michelle Fischbach,9,US CONGRESS,3500,1
Michelle Fischbach,10,WCAS,3500,1
Michelle Fischbach,11,AUTOMOTIVE PARTS HEADQUARTERS,3500,1
Michelle Fischbach,12,SAM NUTRITION,3300,1
Michelle Fischbach,13,CONESTOGA ENERGY,2500,1
Michelle Fischbach,14,CONSOLIDATED TELEPHONE,2000,1
Michelle Fischbach,15,MATHIOWETZ CONSTRUCTION,1791,2
Michelle Fischbach,16,HUBBARD RADIO,1500,1
Michelle Fischbach,17,CHRISTENSEN FARMS,1500,1
Blake Moore,1,SUNRUN,17800,24
Blake Moore,2,HEALTHEQUITY,16700,8
Blake Moore,3,APOLLO GLOBAL,11500,5
Blake Moore,4,LAYTON CONSTRUCTION,10500,3
Blake Moore,5,PIVOTAL VENTURES,7000,2
Blake Moore,6,MOUNTAIN AMERICA CREDIT UNION,7000,2
Blake Moore,7,ARNOLD VENTURES,7000,2
Blake Moore,8,SAGESURE,7000,2
Blake Moore,9,EPIC,6800,2
Blake Moore,10,NICHOLS LIU,6600,2
Blake Moore,11,HDM CAPITAL,6000,2
Blake Moore,12,APOLLO,6000,3
Blake Moore,13,VSPRING CAPITAL,6000,2
Blake Moore,14,RBC CAPITAL MARKETS,5500,9
Blake Moore,15,CLYDE COMPANIES,5300,3
Blake Moore,16,S-3,4500,2
Beth Van Duyne,1,ELLIOTT INVESTMENT,14000,4
Beth Van Duyne,2,AUERBACH REALTY,7000,2
Beth Van Duyne,3,HILTON,7000,3
Beth Van Duyne,4,BLACKSTONE,7000,3
Beth Van Duyne,5,UNAKA,7000,3
Beth Van Duyne,6,ABERDEEN LAND,7000,4
Beth Van Duyne,7,KOMATSU ARCHITECTURE,6245,5
Beth Van Duyne,8,VEHICLE LEASING,3643,3
Beth Van Duyne,9,WILLIAMS BROS CONST,3643,3
Beth Van Duyne,10,BLUMBERG CAPITAL,3500,1
Beth Van Duyne,11,HUB,3500,1
Beth Van Duyne,12,MSM,3500,1
Beth Van Duyne,13,MEHLMAN CASTAGNETTI ROSEN THOMAS,3500,1
Beth Van Duyne,14,BILLINGSLEY,3300,1
Beth Van Duyne,15,WASHINGTON COUNCIL EY,3300,1
Beth Van Duyne,16,SENIOR CARE PHARMACY COALITION,2500,1
Beth Van Duyne,17,BCC,2500,1
Randy Feenstra,1,TALUSAG,14000,6
Randy Feenstra,2,MARQUIS,13400,4
Randy Feenstra,3,APOLLO GLOBAL,7500,3
Randy Feenstra,4,COTTINGHAM BUTLER,7000,4
Randy Feenstra,5,ROUTE ONE INVESTMENT,7000,2
Randy Feenstra,6,CANDYBOMBER,7000,5
Randy Feenstra,7,BLUE OWL CAPITAL,7000,5
Randy Feenstra,8,MARQUIS ENERGY,6600,2
Randy Feenstra,9,APOLLO,4000,2
Randy Feenstra,10,ARTICLE ONE,3500,1
Randy Feenstra,11,AMVC,3500,2
Randy Feenstra,12,MEHLMAN,3500,1
Randy Feenstra,13,AKIN GUMP,3500,1
Randy Feenstra,14,WASHINGTON COUNCIL EY,3500,1
Randy Feenstra,15,CLEAR PATH,3500,1
Randy Feenstra,16,CAPITOL TAX,3500,1
Nicole Malliotakis,1,APOLLO,12000,6
Nicole Malliotakis,2,APOLLO GLOBAL,8000,4
Nicole Malliotakis,3,ELLIOTT INVESTMENT,7000,3
Nicole Malliotakis,4,WEBB CREEK,7000,5
Nicole Malliotakis,5,CHAIRMAN,7000,3
Nicole Malliotakis,6,SABIN METAL,7000,3
Nicole Malliotakis,7,NEW MOUNTAIN CAPITAL,7000,3
Nicole Malliotakis,8,BLACKSTONE,7000,3
Nicole Malliotakis,9,GUARDANT HEALTH,6600,3
Nicole Malliotakis,10,MEHLMAN,6000,4
Nicole Malliotakis,11,ATLAS CROSSING,6000,4
Nicole Malliotakis,12,NORM CHAMP,5750,3
Nicole Malliotakis,13,JACKSON FAMILY INVESTMENTS,5714,4
Nicole Malliotakis,14,PRICEWATERHOUSECOOPERS LLPPAR,5000,3
Nicole Malliotakis,15,RETTNER,5000,3
Nicole Malliotakis,16,ACVS,5000,3
Nicole Malliotakis,17,RXR,5000,3
Mike Carey,1,WEBB CREEK,9333,4
Mike Carey,2,MOBLEY,8334,3
Mike Carey,3,BARNES THORNBURG,8300,4
Mike Carey,4,DCI,7000,6
Mike Carey,5,BLACKSTONE,7000,5
Mike Carey,6,VENTURE GOVERNMENT STRATEGIES,6500,11
Mike Carey,7,HDM CAPITAL,6000,4
Mike Carey,8,BYERS MINTON &,5000,2
Mike Carey,9,INVENERGY,5000,2
Mike Carey,10,OHIO STATE UNIVERSITY,4500,4
Mike Carey,11,CAPITOL TAX,4500,5
Mike Carey,12,OGR,4500,4
Mike Carey,13,KENMORE CONSTRUCTION,3500,1
Mike Carey,14,MEIJER,3500,1
Mike Carey,15,COINBASE,3500,1
Mike Carey,16,CLEARPATH,3500,1
Mike Carey,17,O'BRIEN AUTOMOTIVE TEAM,3500,1
Rudy Yakym,1,KIRKLAND & ELLIS,14500,6
Rudy Yakym,2,MARQUIS,8500,5
Rudy Yakym,3,CAPITOL TAX,8100,4
Rudy Yakym,4,BLACKSTONE,7400,4
Rudy Yakym,5,ARSENAL CAPITAL,7287,3
Rudy Yakym,6,ELLIOTT INVESTMENT,7000,3
Rudy Yakym,7,THE HERITAGE,6600,3
Rudy Yakym,8,CAPITOL COUNSEL,5000,5
Rudy Yakym,9,G2 GAMING,5000,1
Rudy Yakym,10,HILCO GLOBAL,4000,2
Rudy Yakym,11,BGR,3750,5
Rudy Yakym,12,CLEARPATH,3500,1
Rudy Yakym,13,INDEPENDENCE TUBE,3500,2
Rudy Yakym,14,SKYBOX CAPITAL,3500,1
Rudy Yakym,15,MEIJER,3500,1
Rudy Yakym,16,ARNOLD VENTURES,3500,1
Max Miller,1,BREAKTHRU BEVERAGE,7000,3
Max Miller,2,SAILPOINT,7000,3
Max Miller,3,SAGESURE,7000,3
Max Miller,4,REGENCY CENTERS,7000,4
Max Miller,5,CAROLYN ROWAN COLLECTION,7000,2
Max Miller,6,APOLLO,7000,2
Max Miller,7,HUNT COMPANIES,7000,3
Max Miller,8,MONTGOMERY CAPITAL,7000,2
Max Miller,9,JANE STREET,7000,2
Max Miller,10,ELLIOTT INVESTMENT,7000,3
Max Miller,11,KEEWIN,7000,4
Max Miller,12,FIGGERS COMMUNICATION,6600,2
Max Miller,13,THE NRP,6600,2
Max Miller,14,MORELAND MANAGMENT,6600,3
Max Miller,15,JONES DAY,6000,3
Max Miller,16,MARQUIS,6000,2
Max Miller,17,MUFG,5000,3
Aaron Bean,1,APOLLO GLOBAL,10000,5
Aaron Bean,2,ADELANTO HEALTHCARE VENTURES,7000,2
