week_start,geo_class,total_amount,transaction_count,distinct_donors
2022-12-26,dc_kstreet,2811,6,6
2022-12-26,in_district,3000,2,2
2022-12-26,in_state,7356,77,72
2022-12-26,in_state_out_district,3360,5,5
2022-12-26,out_of_state,22960,582,453
2023-01-02,dc_kstreet,6274,40,38
2023-01-02,in_district,15020,21,16
2023-01-02,in_state,30731,610,474
2023-01-02,in_state_out_district,12080,12,11
2023-01-02,out_of_state,189789,5889,4468
2023-01-09,dc_kstreet,11759,50,41
2023-01-09,in_district,48295,34,27
2023-01-09,in_state,94743,1163,994
2023-01-09,in_state_out_district,10929,10,10
2023-01-09,out_of_state,255126,5176,3570
2023-01-16,dc_kstreet,19791,60,51
2023-01-16,in_district,31035,21,16
2023-01-16,in_state,56504,809,577
2023-01-16,in_state_out_district,29007,19,16
2023-01-16,out_of_state,207341,4890,3268
2023-01-23,dc_kstreet,31566,85,71
2023-01-23,in_district,38575,38,31
2023-01-23,in_state,61777,815,657
2023-01-23,in_state_out_district,31766,29,27
2023-01-23,out_of_state,266088,5389,3865
2023-01-30,dc_kstreet,31655,104,91
2023-01-30,in_district,35302,41,36
2023-01-30,in_state,75865,904,742
2023-01-30,in_state_out_district,29928,52,48
2023-01-30,out_of_state,390904,8521,6244
2023-01-30,unknown,1500,3,3
2023-02-06,dc_kstreet,30046,64,55
2023-02-06,in_district,74004,63,55
2023-02-06,in_state,61239,649,530
2023-02-06,in_state_out_district,67497,67,61
2023-02-06,out_of_state,342348,4079,2773
2023-02-13,dc_kstreet,18602,57,55
2023-02-13,in_district,52779,52,43
2023-02-13,in_state,68240,806,656
2023-02-13,in_state_out_district,67394,61,57
2023-02-13,out_of_state,430874,5116,3593
2023-02-20,dc_kstreet,22035,58,53
2023-02-20,in_district,62451,59,56
2023-02-20,in_state,102808,758,603
2023-02-20,in_state_out_district,41284,43,41
2023-02-20,out_of_state,329930,4554,3196
2023-02-27,dc_kstreet,43319,120,108
2023-02-27,in_district,145275,103,88
2023-02-27,in_state,145750,1182,962
2023-02-27,in_state_out_district,51011,62,60
2023-02-27,out_of_state,523817,9158,6768
2023-03-06,dc_kstreet,63331,73,63
2023-03-06,in_district,175227,141,121
2023-03-06,in_state,197375,1145,982
2023-03-06,in_state_out_district,72588,72,66
2023-03-06,out_of_state,547568,4610,3011
2023-03-13,dc_kstreet,86146,112,99
2023-03-13,in_district,106011,88,78
2023-03-13,in_state,169709,1130,866
2023-03-13,in_state_out_district,184396,114,93
2023-03-13,out_of_state,633412,6204,4246
2023-03-13,unknown,1000,1,1
2023-03-20,dc_kstreet,90685,131,107
2023-03-20,in_district,158188,114,100
2023-03-20,in_state,167743,930,727
2023-03-20,in_state_out_district,161174,115,98
2023-03-20,out_of_state,639064,5460,3590
2023-03-27,dc_kstreet,229876,299,253
2023-03-27,in_district,209624,199,171
2023-03-27,in_state,536776,1883,1577
2023-03-27,in_state_out_district,335853,266,228
2023-03-27,out_of_state,2071159,9570,6546
2023-03-27,unknown,2000,1,1
2023-04-03,dc_kstreet,16817,55,51
2023-04-03,in_district,28594,66,59
2023-04-03,in_state,92302,826,681
2023-04-03,in_state_out_district,66532,52,41
2023-04-03,out_of_state,341317,6749,5153
2023-04-10,dc_kstreet,31889,188,78
2023-04-10,in_district,81436,96,89
2023-04-10,in_state,180818,2833,951
2023-04-10,in_state_out_district,72096,84,76
2023-04-10,out_of_state,579577,25464,4927
2023-04-10,unknown,1000,1,1
2023-04-17,dc_kstreet,27151,78,70
2023-04-17,in_district,87421,108,102
2023-04-17,in_state,133277,919,763
2023-04-17,in_state_out_district,76123,70,64
2023-04-17,out_of_state,414405,5440,3876
2023-04-24,dc_kstreet,54695,124,112
2023-04-24,in_district,86881,155,136
2023-04-24,in_state,162611,1434,1136
2023-04-24,in_state_out_district,70753,92,83
2023-04-24,out_of_state,523387,7687,5269
2023-04-24,unknown,3300,1,1
2023-05-01,dc_kstreet,45518,103,85
2023-05-01,in_district,92179,121,113
2023-05-01,in_state,93658,884,696
2023-05-01,in_state_out_district,99184,108,98
2023-05-01,out_of_state,611368,6859,5329
2023-05-01,unknown,2900,1,1
2023-05-08,dc_kstreet,32049,64,57
2023-05-08,in_district,83394,133,117
2023-05-08,in_state,122990,994,858
2023-05-08,in_state_out_district,96116,103,88
2023-05-08,out_of_state,583379,5390,3676
2023-05-15,dc_kstreet,28451,91,78
2023-05-15,in_district,75986,92,74
2023-05-15,in_state,117467,1098,936
2023-05-15,in_state_out_district,55139,98,89
2023-05-15,out_of_state,605972,6995,5346
2023-05-15,unknown,5000,3,1
2023-05-22,dc_kstreet,44748,103,95
2023-05-22,in_district,36518,88,71
2023-05-22,in_state,1390666,1964,1471
2023-05-22,in_state_out_district,61179,80,75
2023-05-22,out_of_state,1444117,7489,5322
2023-05-29,dc_kstreet,27793,98,85
2023-05-29,in_district,69237,111,104
2023-05-29,in_state,169507,1247,1096
2023-05-29,in_state_out_district,94295,117,105
2023-05-29,out_of_state,648571,6341,4728
2023-06-05,dc_kstreet,55961,103,96
2023-06-05,in_district,41630,86,75
2023-06-05,in_state,121890,1043,884
2023-06-05,in_state_out_district,114581,133,121
2023-06-05,out_of_state,637616,7307,5646
2023-06-12,dc_kstreet,56716,112,85
2023-06-12,in_district,101495,129,114
2023-06-12,in_state,135782,1193,978
2023-06-12,in_state_out_district,119248,142,131
2023-06-12,out_of_state,806853,7140,4797
2023-06-19,dc_kstreet,50008,114,105
2023-06-19,in_district,84154,142,120
2023-06-19,in_state,192869,1145,945
2023-06-19,in_state_out_district,115219,118,110
2023-06-19,out_of_state,810090,6944,4668
2023-06-26,dc_kstreet,160699,233,183
2023-06-26,in_district,249642,316,262
2023-06-26,in_state,541404,2014,1587
2023-06-26,in_state_out_district,343350,300,263
2023-06-26,out_of_state,1549930,9251,6454
2023-07-03,dc_kstreet,7507,61,54
2023-07-03,in_district,9180,59,50
2023-07-03,in_state,72866,921,818
2023-07-03,in_state_out_district,18635,33,31
2023-07-03,out_of_state,381423,7832,6004
2023-07-10,dc_kstreet,31171,83,79
2023-07-10,in_district,27385,72,63
2023-07-10,in_state,128292,1271,1094
2023-07-10,in_state_out_district,69233,86,82
2023-07-10,out_of_state,568342,6993,4923
2023-07-17,dc_kstreet,37479,101,87
2023-07-17,in_district,48926,106,97
2023-07-17,in_state,264861,1188,982
2023-07-17,in_state_out_district,57516,112,102
2023-07-17,out_of_state,602015,7438,5383
2023-07-24,dc_kstreet,26303,119,103
2023-07-24,in_district,55999,139,116
2023-07-24,in_state,156403,1448,1225
2023-07-24,in_state_out_district,76101,136,125
2023-07-24,out_of_state,664296,8730,6230
2023-07-31,dc_kstreet,25590,105,88
2023-07-31,in_district,53902,102,96
2023-07-31,in_state,118443,1126,963
2023-07-31,in_state_out_district,107532,133,118
2023-07-31,out_of_state,589594,9073,6643
2023-08-07,dc_kstreet,13606,51,48
2023-08-07,in_district,54201,130,124
2023-08-07,in_state,72552,1118,956
2023-08-07,in_state_out_district,85870,126,113
2023-08-07,out_of_state,476517,6460,4662
2023-08-14,dc_kstreet,9220,65,53
2023-08-14,in_district,75480,148,133
2023-08-14,in_state,155593,1235,1045
2023-08-14,in_state_out_district,88647,136,123
2023-08-14,out_of_state,464115,7201,5103
2023-08-14,unknown,1000,1,1
2023-08-21,dc_kstreet,10681,91,72
2023-08-21,in_district,86991,121,116
2023-08-21,in_state,90156,1200,988
2023-08-21,in_state_out_district,109090,147,130
2023-08-21,out_of_state,562084,8048,5644
2023-08-28,dc_kstreet,25535,102,90
2023-08-28,in_district,80126,173,156
2023-08-28,in_state,190455,1444,1256
2023-08-28,in_state_out_district,114554,161,145
2023-08-28,out_of_state,534540,8011,5703
2023-09-04,dc_kstreet,16839,77,71
2023-09-04,in_district,73355,117,113
2023-09-04,in_state,99378,1081,928
2023-09-04,in_state_out_district,182170,191,172
2023-09-04,out_of_state,488669,8030,6174
2023-09-11,dc_kstreet,32916,79,66
2023-09-11,in_district,167483,199,186
2023-09-11,in_state,74211,1106,953
2023-09-11,in_state_out_district,175418,206,189
2023-09-11,out_of_state,456474,6315,4567
2023-09-11,unknown,520,1,1
2023-09-18,dc_kstreet,48827,107,90
2023-09-18,in_district,107441,189,178
2023-09-18,in_state,126462,1157,952
2023-09-18,in_state_out_district,186421,208,197
2023-09-18,out_of_state,781579,7214,5324
2023-09-18,unknown,2500,1,1
2023-09-25,dc_kstreet,173887,285,230
2023-09-25,in_district,145926,275,244
2023-09-25,in_state,286913,2207,1861
2023-09-25,in_state_out_district,322754,369,345
2023-09-25,out_of_state,1382369,10440,7673
2023-09-25,unknown,8520,15,9
2023-10-02,dc_kstreet,21535,78,71
2023-10-02,in_district,48732,117,106
2023-10-02,in_state,90090,1113,1008
2023-10-02,in_state_out_district,45546,90,84
2023-10-02,out_of_state,370159,7616,6061
2023-10-09,dc_kstreet,11620,52,47
2023-10-09,in_district,48684,116,109
2023-10-09,in_state,88591,1229,1090
2023-10-09,in_state_out_district,123814,145,125
2023-10-09,out_of_state,390171,6682,4759
2023-10-16,dc_kstreet,39821,101,94
2023-10-16,in_district,91241,156,145
2023-10-16,in_state,120383,1235,1059
2023-10-16,in_state_out_district,120732,132,119
2023-10-16,out_of_state,510960,6888,5137
2023-10-23,dc_kstreet,27406,113,107
2023-10-23,in_district,69105,159,153
2023-10-23,in_state,166353,1458,1232
2023-10-23,in_state_out_district,98749,156,140
2023-10-23,out_of_state,551943,7825,5777
2023-10-23,unknown,500,1,1
2023-10-30,dc_kstreet,27365,106,101
2023-10-30,in_district,111234,195,177
2023-10-30,in_state,124405,1335,1153
2023-10-30,in_state_out_district,157660,201,174
2023-10-30,out_of_state,480597,9417,7071
2023-10-30,unknown,500,1,1
2023-11-06,dc_kstreet,22532,63,58
2023-11-06,in_district,168883,198,177
2023-11-06,in_state,95377,1173,1024
2023-11-06,in_state_out_district,198451,199,169
2023-11-06,out_of_state,500232,6433,4338
2023-11-13,dc_kstreet,37243,86,79
2023-11-13,in_district,186761,227,202
2023-11-13,in_state,150464,1147,1019
2023-11-13,in_state_out_district,106751,154,135
2023-11-13,out_of_state,461916,5418,3951
2023-11-20,dc_kstreet,6574,48,44
2023-11-20,in_district,75903,134,122
2023-11-20,in_state,63589,935,833
2023-11-20,in_state_out_district,113740,121,108
2023-11-20,out_of_state,402846,4738,3745
2023-11-20,unknown,3300,1,1
2023-11-27,dc_kstreet,43878,135,124
2023-11-27,in_district,149306,321,283
2023-11-27,in_state,113360,1425,1266
2023-11-27,in_state_out_district,163055,232,208
2023-11-27,out_of_state,709503,7429,5732
2023-11-27,unknown,250,1,1
2023-12-04,dc_kstreet,55912,109,96
2023-12-04,in_district,97957,181,171
2023-12-04,in_state,136047,1011,915
2023-12-04,in_state_out_district,120040,186,169
2023-12-04,out_of_state,573677,6750,5512
2023-12-11,dc_kstreet,63749,128,111
2023-12-11,in_district,131795,209,188
2023-12-11,in_state,160619,1091,977
2023-12-11,in_state_out_district,189527,288,259
2023-12-11,out_of_state,663697,4901,3779
2023-12-11,unknown,500,1,1
2023-12-18,dc_kstreet,45043,97,83
2023-12-18,in_district,156076,220,191
2023-12-18,in_state,173883,1168,1055
2023-12-18,in_state_out_district,214922,281,254
2023-12-18,out_of_state,670480,5027,4043
2023-12-18,unknown,500,1,1
2023-12-25,dc_kstreet,66016,147,127
2023-12-25,in_district,120804,281,256
2023-12-25,in_state,139006,1758,1478
2023-12-25,in_state_out_district,217201,318,269
2023-12-25,out_of_state,710321,7183,5571
2024-01-01,dc_kstreet,15867,60,53
2024-01-01,in_district,45895,114,105
2024-01-01,in_state,29314,736,663
2024-01-01,in_state_out_district,93313,182,162
2024-01-01,out_of_state,347982,6186,4958
2024-01-08,dc_kstreet,30974,52,52
2024-01-08,in_district,192164,237,203
2024-01-08,in_state,321849,1010,917
2024-01-08,in_state_out_district,135286,197,173
2024-01-08,out_of_state,1159858,5166,3962
2024-01-15,dc_kstreet,25339,64,60
2024-01-15,in_district,214706,246,207
2024-01-15,in_state,67809,982,878
2024-01-15,in_state_out_district,212756,259,215
2024-01-15,out_of_state,612614,6109,4766
2024-01-22,dc_kstreet,20628,87,82
2024-01-22,in_district,99630,192,175
2024-01-22,in_state,69160,1012,915
2024-01-22,in_state_out_district,254979,336,292
2024-01-22,out_of_state,479923,5438,4094
2024-01-29,dc_kstreet,55304,110,92
2024-01-29,in_district,145672,273,241
2024-01-29,in_state,112755,1504,1351
2024-01-29,in_state_out_district,220695,385,328
2024-01-29,out_of_state,466969,6273,4846
2024-01-29,unknown,1000,1,1
2024-02-05,dc_kstreet,43455,102,97
2024-02-05,in_district,129592,261,213
2024-02-05,in_state,85113,1092,1007
2024-02-05,in_state_out_district,277533,432,320
2024-02-05,out_of_state,695904,7378,6011
2024-02-05,unknown,1500,1,1
2024-02-12,dc_kstreet,27794,79,76
2024-02-12,in_district,94932,162,146
2024-02-12,in_state,146428,1214,1055
2024-02-12,in_state_out_district,90457,196,171
2024-02-12,out_of_state,583085,5911,4539
2024-02-19,dc_kstreet,18977,75,67
2024-02-19,in_district,117244,199,186
2024-02-19,in_state,121108,1196,1047
2024-02-19,in_state_out_district,145445,216,197
2024-02-19,out_of_state,445798,5849,4563
2024-02-26,dc_kstreet,59158,146,131
2024-02-26,in_district,124581,297,279
2024-02-26,in_state,114279,1645,1470
2024-02-26,in_state_out_district,187871,303,263
2024-02-26,out_of_state,703463,7493,5916
2024-02-26,unknown,2499,2,2
2024-03-04,dc_kstreet,43243,108,99
2024-03-04,in_district,107793,211,198
2024-03-04,in_state,136634,1121,1025
2024-03-04,in_state_out_district,165082,230,200
2024-03-04,out_of_state,706741,6770,5664
2024-03-11,dc_kstreet,36696,85,81
2024-03-11,in_district,69936,170,158
2024-03-11,in_state,135083,983,912
2024-03-11,in_state_out_district,128775,233,214
2024-03-11,out_of_state,673535,4878,3898
2024-03-18,dc_kstreet,82972,149,133
2024-03-18,in_district,166962,254,226
2024-03-18,in_state,188431,1254,1169
2024-03-18,in_state_out_district,111718,243,197
2024-03-18,out_of_state,833037,5170,4201
2024-03-18,unknown,12,1,1
2024-03-25,dc_kstreet,85026,181,159
2024-03-25,in_district,161399,385,335
2024-03-25,in_state,298125,1755,1578
2024-03-25,in_state_out_district,187105,369,305
2024-03-25,out_of_state,1226473,6968,5752
2024-04-01,dc_kstreet,18443,75,69
2024-04-01,in_district,36424,123,107
2024-04-01,in_state,114988,981,889
2024-04-01,in_state_out_district,61106,127,115
2024-04-01,out_of_state,500963,5922,5087
2024-04-08,dc_kstreet,19172,67,60
2024-04-08,in_district,53266,153,140
2024-04-08,in_state,87800,834,773
2024-04-08,in_state_out_district,88388,175,160
2024-04-08,out_of_state,373055,4115,3318
2024-04-15,dc_kstreet,26270,74,68
2024-04-15,in_district,60056,188,171
2024-04-15,in_state,73896,883,820
2024-04-15,in_state_out_district,111350,172,147
2024-04-15,out_of_state,387310,5188,4211
2024-04-15,unknown,500,1,1
2024-04-22,dc_kstreet,22234,90,83
2024-04-22,in_district,64563,217,203
2024-04-22,in_state,90947,1079,986
2024-04-22,in_state_out_district,106540,188,164
2024-04-22,out_of_state,680727,5413,4492
2024-04-22,unknown,762,3,3
2024-04-29,dc_kstreet,31286,122,115
2024-04-29,in_district,219271,273,248
2024-04-29,in_state,128926,1296,1194
2024-04-29,in_state_out_district,114739,237,216
2024-04-29,out_of_state,729015,7518,6409
2024-05-06,dc_kstreet,32734,75,71
2024-05-06,in_district,117899,183,162
2024-05-06,in_state,103975,834,778
2024-05-06,in_state_out_district,139301,182,163
2024-05-06,out_of_state,576956,5887,4959
2024-05-13,dc_kstreet,23645,77,72
2024-05-13,in_district,76084,181,163
2024-05-13,in_state,136543,1037,957
2024-05-13,in_state_out_district,127643,223,189
2024-05-13,out_of_state,631747,5372,4410
2024-05-13,unknown,3300,1,1
2024-05-20,dc_kstreet,29193,85,78
2024-05-20,in_district,105248,213,196
2024-05-20,in_state,103951,944,880
2024-05-20,in_state_out_district,158764,207,182
2024-05-20,out_of_state,511900,5061,4202
2024-05-20,unknown,12,1,1
2024-05-27,dc_kstreet,21928,103,90
2024-05-27,in_district,111941,277,259
2024-05-27,in_state,166905,1500,1389
2024-05-27,in_state_out_district,90800,250,221
2024-05-27,out_of_state,457778,5921,4968
2024-06-03,dc_kstreet,21966,90,84
2024-06-03,in_district,76276,205,190
2024-06-03,in_state,163978,1101,1015
2024-06-03,in_state_out_district,81783,234,208
2024-06-03,out_of_state,672351,6534,5509
2024-06-03,unknown,6600,2,2
2024-06-10,dc_kstreet,37535,76,70
2024-06-10,in_district,66387,189,179
2024-06-10,in_state,146440,1124,1032
2024-06-10,in_state_out_district,97244,190,166
2024-06-10,out_of_state,520269,5133,4163
2024-06-10,unknown,8100,4,3
2024-06-17,dc_kstreet,38588,99,91
2024-06-17,in_district,80416,215,206
2024-06-17,in_state,127529,1058,979
2024-06-17,in_state_out_district,128644,224,198
2024-06-17,out_of_state,731348,6108,4982
2024-06-24,dc_kstreet,94036,219,179
2024-06-24,in_district,156127,391,360
2024-06-24,in_state,216460,1925,1723
2024-06-24,in_state_out_district,267196,454,396
2024-06-24,out_of_state,1037661,8837,6869
2024-06-24,unknown,12,1,1
2024-07-01,dc_kstreet,6939,73,68
2024-07-01,in_district,46118,129,120
2024-07-01,in_state,81264,939,863
2024-07-01,in_state_out_district,55374,146,130
2024-07-01,out_of_state,351511,7173,6042
2024-07-01,unknown,3300,1,1
2024-07-08,dc_kstreet,28365,83,72
2024-07-08,in_district,56349,206,189
2024-07-08,in_state,61307,967,904
2024-07-08,in_state_out_district,59302,221,193
2024-07-08,out_of_state,332689,5376,4318
2024-07-15,dc_kstreet,10563,70,63
2024-07-15,in_district,66525,259,233
2024-07-15,in_state,109076,1262,1144
2024-07-15,in_state_out_district,75810,225,187
2024-07-15,out_of_state,448949,7128,5635
2024-07-22,dc_kstreet,37805,126,118
2024-07-22,in_district,115238,273,244
2024-07-22,in_state,148535,1428,1311
2024-07-22,in_state_out_district,186615,319,268
2024-07-22,out_of_state,545659,7243,5532
2024-07-22,unknown,12,1,1
2024-07-29,dc_kstreet,23340,93,87
2024-07-29,in_district,116608,304,282
2024-07-29,in_state,162115,1624,1492
2024-07-29,in_state_out_district,134553,333,299
2024-07-29,out_of_state,568566,7151,5291
2024-08-05,dc_kstreet,31249,94,90
2024-08-05,in_district,121312,228,223
2024-08-05,in_state,121249,1121,1044
2024-08-05,in_state_out_district,122924,257,220
2024-08-05,out_of_state,529995,7659,6111
2024-08-12,dc_kstreet,16302,74,70
2024-08-12,in_district,86192,234,217
2024-08-12,in_state,136680,1281,1179
2024-08-12,in_state_out_district,136743,256,233
2024-08-12,out_of_state,469431,6882,5140
2024-08-12,unknown,500,1,1
2024-08-19,dc_kstreet,14875,86,79
2024-08-19,in_district,125008,274,251
2024-08-19,in_state,104738,1234,1144
2024-08-19,in_state_out_district,109145,284,224
2024-08-19,out_of_state,385086,6706,5087
2024-08-19,unknown,12,1,1
2024-08-26,dc_kstreet,13565,99,91
2024-08-26,in_district,174587,401,369
2024-08-26,in_state,109488,1643,1510
2024-08-26,in_state_out_district,190108,428,382
2024-08-26,out_of_state,524967,7783,5846
2024-08-26,unknown,1250,2,2
2024-09-02,dc_kstreet,13529,88,86
2024-09-02,in_district,128994,260,246
2024-09-02,in_state,128862,1305,1209
2024-09-02,in_state_out_district,183115,295,248
2024-09-02,out_of_state,527431,7815,6209
2024-09-09,dc_kstreet,26476,85,80
2024-09-09,in_district,158596,311,289
2024-09-09,in_state,128588,1287,1185
2024-09-09,in_state_out_district,157677,345,308
2024-09-09,out_of_state,664304,6417,4892
2024-09-09,unknown,500,1,1
2024-09-16,dc_kstreet,67664,121,112
2024-09-16,in_district,125345,324,295
2024-09-16,in_state,117786,1341,1248
2024-09-16,in_state_out_district,193235,401,342
2024-09-16,out_of_state,646755,7482,5678
2024-09-16,unknown,3300,1,1
2024-09-23,dc_kstreet,57212,159,146
2024-09-23,in_district,146078,380,345
2024-09-23,in_state,168144,1626,1497
2024-09-23,in_state_out_district,224422,491,418
2024-09-23,out_of_state,827153,7656,5810
2024-09-23,unknown,2012,2,2
2024-09-30,dc_kstreet,71184,162,133
2024-09-30,in_district,229850,552,500
2024-09-30,in_state,147950,1584,1438
2024-09-30,in_state_out_district,289766,593,517
2024-09-30,out_of_state,824570,9948,7547
2024-10-07,dc_kstreet,14971,76,66
2024-10-07,in_district,199990,402,373
2024-10-07,in_state,92105,1225,1130
2024-10-07,in_state_out_district,237960,503,436
2024-10-07,out_of_state,804212,8543,5733
2024-10-07,unknown,250,1,1
2024-10-14,dc_kstreet,21524,82,72
2024-10-14,in_district,199486,367,333
2024-10-14,in_state,160916,1315,1173
2024-10-14,in_state_out_district,237399,449,384
2024-10-14,out_of_state,831471,9756,6114
2024-10-14,unknown,1500,2,2
2024-10-21,dc_kstreet,18059,95,86
2024-10-21,in_district,169099,459,426
2024-10-21,in_state,151068,1543,1343
2024-10-21,in_state_out_district,238001,534,448
2024-10-21,out_of_state,897945,11287,6923
2024-10-21,unknown,512,2,2
2024-10-28,dc_kstreet,29510,122,102
2024-10-28,in_district,161183,504,452
2024-10-28,in_state,211686,1873,1573
2024-10-28,in_state_out_district,165440,513,409
2024-10-28,out_of_state,998590,13833,7558
2024-10-28,unknown,6600,2,2
2024-11-04,dc_kstreet,17466,75,65
2024-11-04,in_district,86471,222,208
2024-11-04,in_state,53208,695,607
2024-11-04,in_state_out_district,133164,314,242
2024-11-04,out_of_state,402012,8005,5319
2024-11-11,dc_kstreet,12497,33,31
2024-11-11,in_district,14259,31,29
2024-11-11,in_state,46791,513,453
2024-11-11,in_state_out_district,10570,38,21
2024-11-11,out_of_state,145833,2386,1745
2024-11-11,unknown,1500,1,1
2024-11-18,dc_kstreet,22985,36,30
2024-11-18,in_district,10138,21,19
2024-11-18,in_state,37859,480,433
2024-11-18,in_state_out_district,19346,27,20
2024-11-18,out_of_state,186118,2204,1602
2024-11-25,dc_kstreet,4613,33,28
2024-11-25,in_district,18984,21,19
2024-11-25,in_state,33605,696,638
2024-11-25,in_state_out_district,3147,18,11
2024-11-25,out_of_state,150405,2502,1876
2024-12-02,dc_kstreet,6552,32,30
2024-12-02,in_district,14915,29,28
2024-12-02,in_state,79608,536,492
2024-12-02,in_state_out_district,5813,20,18
2024-12-02,out_of_state,192836,2095,1540
2024-12-09,dc_kstreet,20570,29,28
2024-12-09,in_district,4965,9,9
2024-12-09,in_state,40840,529,474
2024-12-09,in_state_out_district,19149,18,14
2024-12-09,out_of_state,241042,2085,1557
2024-12-16,dc_kstreet,27973,42,32
2024-12-16,in_district,13223,19,17
2024-12-16,in_state,35701,531,483
2024-12-16,in_state_out_district,22060,26,22
2024-12-16,out_of_state,232061,1944,1505
2024-12-23,dc_kstreet,6224,27,22
2024-12-23,in_district,5754,9,8
2024-12-23,in_state,62319,543,499
2024-12-23,in_state_out_district,11235,21,13
2024-12-23,out_of_state,135896,2002,1517
2024-12-30,dc_kstreet,11094,16,16
2024-12-30,in_district,7214,11,10
2024-12-30,in_state,23209,263,241
2024-12-30,in_state_out_district,10555,17,15
2024-12-30,out_of_state,135957,732,563
2024-12-30,unknown,1500,1,1
