member_name,one_liner
Brendan Boyle,"99% of Rep. Brendan Boyle (D-PA-02)'s itemized campaign funding comes from outside their district. Top outside employers: KIRKLAND & ELLIS, ROCKET COMPANIES, THE DASCHLE."
Steven Horsford,"98% of Rep. Steven Horsford (D-NV-04)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, APOLLO GLOBAL, ANDREESSEN HOROWITZ."
Linda Sanchez,"98% of Rep. Linda Sanchez (D-CA-38)'s itemized campaign funding comes from outside their district. Top outside employers: FULCRUM PUBLIC AFFAIRS, THORN RUN, CAPITOL COUNSEL."
Terri Sewell,"98% of Rep. Terri Sewell (D-AL-07)'s itemized campaign funding comes from outside their district. Top outside employers: CHARTER BROKERAGE, GRAIL, NHS."
Bernie Sanders,"97% of Sen. Bernie Sanders (I-VT)'s itemized campaign funding comes from outside their state. Top outside employers: GOOGLE, TA INSTRUMENTS, APPLE."
Mike Crapo,"97% of Sen. Mike Crapo (R-ID)'s itemized campaign funding comes from outside their state. Top outside employers: NEXTERA ENERGY, WINGED KEEL, NEXTERA."
Jimmy Gomez,"97% of Rep. Jimmy Gomez (D-CA-34)'s itemized campaign funding comes from outside their district. Top outside employers: CAPITAL, PISCES, NOT-EMPLOYED."
Claudia Tenney,"96% of Rep. Claudia Tenney (R-NY-24)'s itemized campaign funding comes from outside their district. Top outside employers: WEXFORD CAPITAL, POLARIS, HUBBARD BROADCASTING."
Carol Miller,"96% of Rep. Carol Miller (R-WV-02)'s itemized campaign funding comes from outside their district. Top outside employers: SELECT MEDICAL, APEX PIPELINE, COLE AUTOMOTIVE."
Steve Daines,"95% of Sen. Steve Daines (R-MT)'s itemized campaign funding comes from outside their state. Top outside employers: APOLLO, FLORA FARMS, VETERANS GUARDIAN."
Richard Neal,"94% of Rep. Richard Neal (D-MA-01)'s itemized campaign funding comes from outside their district. Top outside employers: FIDELITY INVESTMENTS, BLACKSTONE, NFP."
Brian Fitzpatrick,"94% of Rep. Brian Fitzpatrick (R-PA-01)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, GREYLOCK, OAKTREE CAPITAL."
John Barrasso,"93% of Sen. John Barrasso (R-WY)'s itemized campaign funding comes from outside their state. Top outside employers: KKR, WCAS, CAPITOL COUNSEL."
Max Miller,"89% of Rep. Max Miller (R-OH-07)'s itemized campaign funding comes from outside their district. Top outside employers: APOLLO GLOBAL, THE NRP, APOLLO."
Jason Smith,"89% of Rep. Jason Smith (R-MO-08)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, HERZOG, TRIBE."
Catherine Cortez Masto,"89% of Sen. Catherine Cortez Masto (D-NV)'s itemized campaign funding comes from outside their state. Top outside employers: DISABILITY PLANNERS, PORTER, THE PACIFIC COMPANIES."
Danny Davis,"88% of Rep. Danny Davis (D-IL-07)'s itemized campaign funding comes from outside their district. Top outside employers: ROSCOE, DAMRON, PRIVATE PRACTICE."
Raphael Warnock,"86% of Sen. Raphael Warnock (D-GA)'s itemized campaign funding comes from outside their state. Top outside employers: DAVITA, GOOGLE, GLOBAL GREEN USA."
Vern Buchanan,"85% of Rep. Vern Buchanan (R-FL-16)'s itemized campaign funding comes from outside their district. Top outside employers: DERICK DERMATOLOGY, BLACKSTONE, CAPITOL COUNSEL."
Jimmy Panetta,"85% of Rep. Jimmy Panetta (D-CA-19)'s itemized campaign funding comes from outside their district. Top outside employers: NFP, APOLLO GLOBAL, ROCKET CENTRAL."
Rudy Yakym,"85% of Rep. Rudy Yakym (R-IN-02)'s itemized campaign funding comes from outside their district. Top outside employers: DARYLE DODEN PERSONAL FINANCES, KIRKLAND & ELLIS, FDC GRAPHIC FILMS."
Maggie Hassan,"84% of Sen. Maggie Hassan (D-NH)'s itemized campaign funding comes from outside their state. Top outside employers: ELEVANCE HEALTH, AXXESS, NHS."
Randy Feenstra,"83% of Rep. Randy Feenstra (R-IA-04)'s itemized campaign funding comes from outside their district. Top outside employers: MARQUIS, BGR, DOLL DISTRIBUTING."
Gwen Moore,"82% of Rep. Gwen Moore (D-WI-04)'s itemized campaign funding comes from outside their district. Top outside employers: APOLLO, INVARIANT, LEM SETTLEMENT."
Nicole Malliotakis,"82% of Rep. Nicole Malliotakis (R-NY-11)'s itemized campaign funding comes from outside their district. Top outside employers: WCAS, BLACKSTONE, APOLLO GLOBAL."
Bill Cassidy,"81% of Sen. Bill Cassidy (R-LA)'s itemized campaign funding comes from outside their state. Top outside employers: DAVITA, ANDREESSEN HOROWITZ, TEXAS ONCOLOGY."
Adrian Smith,"81% of Rep. Adrian Smith (R-NE-03)'s itemized campaign funding comes from outside their district. Top outside employers: HAWKINS CONSTRUCTION, SANDHILLS PUBLISHING, OAKLAND ATHLETICS."
Michelle Fischbach,"80% of Rep. Michelle Fischbach (R-MN-07)'s itemized campaign funding comes from outside their district. Top outside employers: MARQUIS, KING CAPITAL, STARKEY HEARING."
Ben Ray Lujan,"80% of Sen. Ben Ray Lujan (D-NM)'s itemized campaign funding comes from outside their state. Top outside employers: GARCIA HAMILTON &, CHARTER COMMUNICATIONS, ANDREESSEN HOROWITZ."
Peter Welch,"79% of Sen. Peter Welch (D-VT)'s itemized campaign funding comes from outside their state. Top outside employers: THE OLD MOUNTAIN, WEST FRONT STRATEGIES, WMC HOLDINGSINC."
Kevin Hern,"78% of Rep. Kevin Hern (R-OK-01)'s itemized campaign funding comes from outside their district. Top outside employers: CAPITOL TAX, BLACKSTONE, APOLLO GLOBAL."
Lloyd Smucker,"78% of Rep. Lloyd Smucker (R-PA-11)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, LEM SETTLEMENT, SEAN N PARKER FOUNDATION."
Ron Johnson,"77% of Sen. Ron Johnson (R-WI)'s itemized campaign funding comes from outside their state. Top outside employers: ENTREPRENEUR, SO CAL LANDSCAPE, NALLC."
Sheldon Whitehouse,"77% of Sen. Sheldon Whitehouse (D-RI)'s itemized campaign funding comes from outside their state. Top outside employers: JANE STREET CAPITAL, KOREIN TILLERY, CLIFFORD LAW OFFICES."
Tim Scott,"77% of Sen. Tim Scott (R-SC)'s itemized campaign funding comes from outside their state. Top outside employers: GOLDMAN SACHS, COINBASE, ENTREPRENEUR."
Suzan DelBene,"76% of Rep. Suzan DelBene (D-WA-01)'s itemized campaign funding comes from outside their district. Top outside employers: GOOGLE, AMAZON, SANA BIOTECHNOLOGY."
Thom Tillis,"76% of Sen. Thom Tillis (R-NC)'s itemized campaign funding comes from outside their state. Top outside employers: BLACKSTONE, METLIFE, WCAS."
Darin LaHood,"75% of Rep. Darin LaHood (R-IL-16)'s itemized campaign funding comes from outside their district. Top outside employers: BGR, APOLLO GLOBAL, RII."
Thomas Suozzi,"75% of Rep. Thomas Suozzi (D-NY-03)'s itemized campaign funding comes from outside their district. Top outside employers: PAUL WEISS RIFKIND WHARTON & GARRISON, TEITLER & TEITLER, GEHRY."
Mike Kelly,"75% of Rep. Mike Kelly (R-PA-16)'s itemized campaign funding comes from outside their district. Top outside employers: THE PARKER FOUNDATION, GREATER PITTSBURGH AUTO DEALERS ASSOCI, O'BRIEN AUTOMOTIVE TEAM."
Elizabeth Warren,"74% of Sen. Elizabeth Warren (D-MA)'s itemized campaign funding comes from outside their state. Top outside employers: MCARTHURGLEN, SOROS FUND, MERITAGE."
Lloyd Doggett,"74% of Rep. Lloyd Doggett (D-TX-37)'s itemized campaign funding comes from outside their district. Top outside employers: DCP360, BROPHY & DEVANEY, SLACK DAVIS SANGER."
Todd Young,"74% of Sen. Todd Young (R-IN)'s itemized campaign funding comes from outside their state. Top outside employers: ANDREESSEN HOROWITZ, SAGESURE, HHQ VENTURES."
Jodey Arrington,"73% of Rep. Jodey Arrington (R-TX-19)'s itemized campaign funding comes from outside their district. Top outside employers: GRAIL, INTERSECT POWER, WINGED KEEL."
Mike Carey,"71% of Rep. Mike Carey (R-OH-15)'s itemized campaign funding comes from outside their district. Top outside employers: DCI, CAPITOL TAX, LAGOS & LAGOS."
Greg Steube,"71% of Rep. Greg Steube (R-FL-17)'s itemized campaign funding comes from outside their district. Top outside employers: STEPHENS, DOUGLAS JEEP CHRYSLER DODGE RAM, CULLINAN PROPERTIES."
Don Beyer,"68% of Rep. Don Beyer (D-VA-08)'s itemized campaign funding comes from outside their district. Top outside employers: PLANET SUBARU, AKIN GUMP STRAUSS HAUER & FELD, MORINO VENTURES."
John Thune,"68% of Sen. John Thune (R-SD)'s itemized campaign funding comes from outside their state. Top outside employers: MARQUIS, BLACKSTONE, HDR ENGINEERING."
Chuck Grassley,"67% of Sen. Chuck Grassley (R-IA)'s itemized campaign funding comes from outside their state. Top outside employers: BLACKSTONE, ARVIG ENTERPRISES, PECK ENT."
Ron Estes,"66% of Rep. Ron Estes (R-KS-04)'s itemized campaign funding comes from outside their district. Top outside employers: CAPITOL TAX, TRANSYSTEMS, ASH BROKERAGE."
Beth Van Duyne,"65% of Rep. Beth Van Duyne (R-TX-24)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, CITADEL, SEAN N PARKER FOUNDATION."
James Lankford,"65% of Sen. James Lankford (R-OK)'s itemized campaign funding comes from outside their state. Top outside employers: APOLLO GLOBAL, APOLLO, CAROLYN ROWAN COLLECTION."
Judy Chu,"64% of Rep. Judy Chu (D-CA-28)'s itemized campaign funding comes from outside their district. Top outside employers: EDI MEDIA, APEX GLOBAL GROUPS, SEVILLE CLASSICS."
Roger Marshall,"64% of Sen. Roger Marshall (R-KS)'s itemized campaign funding comes from outside their state. Top outside employers: PYRAMID SOUND, PLEXUS CAPITAL, ECCO SELECT."
Mark Warner,"62% of Sen. Mark Warner (D-VA)'s itemized campaign funding comes from outside their state. Top outside employers: CAPITAL, BLACKROCK, APOLLO GLOBAL."
Maria Cantwell,"62% of Sen. Maria Cantwell (D-WA)'s itemized campaign funding comes from outside their state. Top outside employers: ROYAL CARIBBEAN, DELTA AIR LINES, UNITED AIRLINES."
Ron Wyden,"61% of Sen. Ron Wyden (D-OR)'s itemized campaign funding comes from outside their state. Top outside employers: ARNOLD VENTURES, ROCKET CENTRAL, ANDREESSEN HOROWITZ."
Marsha Blackburn,"61% of Sen. Marsha Blackburn (R-TN)'s itemized campaign funding comes from outside their state. Top outside employers: RDV, DAVITA, APOLLO."
Greg Murphy,"60% of Rep. Greg Murphy (R-NC-03)'s itemized campaign funding comes from outside their district. Top outside employers: ALG SENIOR, UROLOGY OF NORTH TEXAS, OCEANS HEALTHCARE."
Blake Moore,"60% of Rep. Blake Moore (R-UT-01)'s itemized campaign funding comes from outside their district. Top outside employers: DOTERRA, APERCEN, ES3."
Mike Thompson,"60% of Rep. Mike Thompson (D-CA-04)'s itemized campaign funding comes from outside their district. Top outside employers: TRINCHERO FAMILY ESTATES, NORTHWESTERN MUTUAL, PISCES."
David Schweikert,"54% of Rep. David Schweikert (R-AZ-01)'s itemized campaign funding comes from outside their district. Top outside employers: VETERANS GUARDIANS, CAPITOL COUNSEL, OPTIMA FINANCIAL."
Aaron Bean,"54% of Rep. Aaron Bean (R-FL-04)'s itemized campaign funding comes from outside their district. Top outside employers: APOLLO GLOBAL, THE MAYERNICK, RETTNER."
Brad Schneider,"54% of Rep. Brad Schneider (D-IL-10)'s itemized campaign funding comes from outside their district. Top outside employers: PARAGON BIOSCIENCES, GREENBERG TRAURIG, BLACKSTONE."
Dwight Evans,"53% of Rep. Dwight Evans (D-PA-03)'s itemized campaign funding comes from outside their district. Top outside employers: PROGRESSIVE, SELECT MEDICAL, METRO PHILLY."
Tina Smith,"53% of Sen. Tina Smith (D-MN)'s itemized campaign funding comes from outside their state. Top outside employers: CAPITAL, LINKEDIN, ROCKET COMPANIES."
David Kustoff,"45% of Rep. David Kustoff (R-TN-08)'s itemized campaign funding comes from outside their district. Top outside employers: BLACKSTONE, APOLLO GLOBAL, UROLOGY OF INDIANA."
Michael Bennet,"45% of Sen. Michael Bennet (D-CO)'s itemized campaign funding comes from outside their state. Top outside employers: PISCES, 1ST FINANCIAL, JANE STREET."
John Larson,"44% of Rep. John Larson (D-CT-01)'s itemized campaign funding comes from outside their district. Top outside employers: SEAN N PARKER FOUNDATION, BLUE OWL CAPITAL, NOT APPLICABLE."
Nathaniel Moran,"34% of Rep. Nathaniel Moran (R-TX-01)'s itemized campaign funding comes from outside their district. Top outside employers: RYAN, HUNT CONSOLIDATED, MYB GOUSTON."
John Cornyn,"30% of Sen. John Cornyn (R-TX)'s itemized campaign funding comes from outside their state. Top outside employers: CAPITAL, ANDREESSEN HOROWITZ, BLACKSTONE."
